x,f1,f2,f3,method
"[0.6150072266991697, 0.9900538501042633, 0.14008401523652403, 0.5183296523637367, 0.8773730719279554]",0.01130088656768614,0.7232730798071171,1.0466421660298928,nsga_ii
"[0.020584494295802447, 0.9699098521619943, 0.8324426408004217, 0.21233911067827616, 0.18182496720710062]",0.061130539168471464,1.2923806605368664,0.0418492048170222,nsga_ii
"[0.924861907618237, 0.28018883219593443, 0.40246265957937283, 0.4826325555301296, 0.4298577183187042]",0.10810079413186435,0.0509075425536078,1.0076755255412393,nsga_ii
"[0.6540951978066056, 0.7872924263104129, 0.43852334190481174, 0.46633484695284383, 0.5403440496468285]",0.17065392928794626,0.49160669514103195,0.8615820325432632,nsga_ii
"[0.7662201961222409, 0.6283578803439537, 0.535114986070292, 0.36703989097486317, 0.41801275878790073]",0.20295741742977477,0.3072431326902663,0.9572532237705174,nsga_ii
"[0.5055663407127229, 0.7877924774318699, 0.6566430403038364, 0.4906454887445649, 0.6121205245246202]",0.23786089808005154,0.6869525884232008,0.7397925155959689,nsga_ii
"[0.6537994953983124, 0.6649169191578537, 0.5260351178807031, 0.39231557390374916, 0.4890316013796017]",0.2631524409375547,0.4529140033160674,0.866349495803627,nsga_ii
"[0.5016876104923136, 0.757349333842046, 0.6027780840714958, 0.4644695099862574, 0.46852932201667735]",0.26570248803211904,0.6630092043713838,0.7180651393081311,nsga_ii
"[0.040728802318970136, 0.8554605840110072, 0.7036578593800237, 0.4741738290873252, 0.09783416065100148]",0.27043487062376315,1.1705853724527027,0.07696773915800566,nsga_ii
"[0.46671156337773645, 0.7608261586868337, 0.4343589033047976, 0.5253998309960167, 0.49079007415796466]",0.2740294728934676,0.6947522383979391,0.6725548449396822,nsga_ii
"[0.6627609154156953, 0.622153971710264, 0.5664735836279573, 0.4791163507099775, 0.47082442396045354]",0.2842197555514736,0.42127568717659997,0.8678655667837941,nsga_ii
"[0.6274639637908067, 0.6597132035677407, 0.46193775258427033, 0.41650757281648, 0.43070030847156815]",0.2851026272254457,0.4815869269123372,0.8446358292941911,nsga_ii
"[0.3455006254302693, 0.7780837013422377, 0.4003132942242591, 0.5150017002931058, 0.6314964958154233]",0.30051906385653354,0.8269055037214709,0.530638228740233,nsga_ii
"[0.5379369770565919, 0.6964934863235048, 0.4425283531348456, 0.5265026196007017, 0.3811575333089339]",0.310105897679645,0.6004183607183221,0.7615238693597792,nsga_ii
"[0.7894804368442503, 0.02247943477549222, 0.38148528850273195, 0.4532395968608308, 0.4307557131695934]",0.33131004320199214,0.01170362549356914,0.9657084983479,nsga_ii
"[0.735213965186983, 0.38679650567390167, 0.49188899945470993, 0.4877222124036829, 0.36541263516216177]",0.3378076032720688,0.2348845912807192,0.9315105119477303,nsga_ii
"[0.5459855486798513, 0.6457095790358918, 0.4738094656814758, 0.46929496987323593, 0.48075299598827703]",0.3462767872137821,0.5566170538028957,0.7578075079244411,nsga_ii
"[0.618447922362532, 0.563850486647568, 0.47334151061186247, 0.4771763707614937, 0.4625830440744966]",0.3578735561389105,0.43796143282689526,0.8278807100078366,nsga_ii
